label,message,cleaned
1,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,important message final contact attempt important messages waiting customer claims dept expires numbernumbernumber call number
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile number months u r entitled update latest colour mobiles camera free call mobile update co free number
1,Get 50% discount on fashion. Shop now.,get number discount fashion shop
2,ICICI alert: Your card suspended. Click link to verify immediately.,icici alert card suspended click link verify immediately
2,ICICI alert: Your card suspended. Click link to verify immediately.,icici alert card suspended click link verify immediately
1,it to 80488. Your 500 free text messages are valid until 31 December 2005.,number number free text messages valid number december number
1,Weekend sale now live.,weekend sale live
0,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IÂLLSPEAK 2U SOONLOTS OF LOVEME XXXX.,boo babe u enjoyin yourjob u seemed number b gettin well hunnyhope ure oktake care illspeak numberu soonlots loveme xxxx
2,SBI alert: Your OTP expired. Click link to verify immediately.,sbi alert otp expired click link verify immediately
2,SBI alert: Your OTP expired. Click link to verify immediately.,sbi alert otp expired click link verify immediately
1,Get cashback on clothing. Shop now.,get cashback clothing shop
0,What's nannys address?,whats nannys address
2,Kotak alert: Your account blocked. Click link to verify immediately.,kotak alert account blocked click link verify immediately
1,Get 50% discount on groceries. Shop now.,get number discount groceries shop
2,SBI alert: Your account blocked. Click link to verify immediately.,sbi alert account blocked click link verify immediately
2,HDFC alert: Your KYC update. Click link to verify immediately.,hdfc alert kyc update click link verify immediately
2,ICICI alert: Your card suspended. Click link to verify immediately.,icici alert card suspended click link verify immediately
1,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec Â£1.50ea. OTBox 731 LA1 7WS. )",want cock hubbys away need real man number satisfy txt wife number strings action txt stop number end txt rec numbernumberea otbox number lanumber numberws
1,Get festival sale on groceries. Shop now.,get festival sale groceries shop
2,SBI alert: Your account blocked. Click link to verify immediately.,sbi alert account blocked click link verify immediately
1,Filthy stories and GIRLS waiting for your,filthy stories girls waiting
0,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem
2,Click to unlock your bank account.,click unlock bank account
1,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,free camera phones linerental numbernumbermonth number cross ntwk mins numbernumber price txt bundle deals also avble call number callnumberoptoutj mf
2,SBI alert: Your OTP expired. Click link to verify immediately.,sbi alert otp expired click link verify immediately
2,SBI alert: Your PAN verification. Click link to verify immediately.,sbi alert pan verification click link verify immediately
0,Serious? What like proper tongued her,serious like proper tongued
2,Account temporarily blocked. Verify identity.,account temporarily blocked verify identity
2,ICICI alert: Your PAN verification. Click link to verify immediately.,icici alert pan verification click link verify immediately
2,HDFC alert: Your OTP expired. Click link to verify immediately.,hdfc alert otp expired click link verify immediately
1,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea number prize reward claim call number claim code klnumber valid number hours
1,u r a winner U ave been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),u r winner u ave specially selected number receive number cash number holiday flights inc speak live operator number claim numberpmin number
1,You are a winner you have been specially selected to receive Â£1000 cash or a Â£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,winner specially selected receive number cash number award speak live operator claim call numberamnumberpm cost numberp
0,Still work going on:)it is very small house.,still work going onit small house
0,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",picking various points going number yeovil motor project number number hours u take home number number numbernumber max easy
0,"Since when, which side, any fever, any vomitin.",since side fever vomitin
0,What u talking bout early morning? It's almost noon where your at!,u talking bout early morning almost noon
2,ICICI alert: Your PAN verification. Click link to verify immediately.,icici alert pan verification click link verify immediately
2,ICICI alert: Your OTP expired. Click link to verify immediately.,icici alert otp expired click link verify immediately
1,WIN URGENT! Your mobile number has been awarded with a Â£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,win urgent mobile number awarded number prize guaranteed call number land line claim number valid numberhrs numberppm
1,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u specially selected number receive number number holiday flights inc speak live operator number claim numberpmin number
0,Do Ã¼ all wan 2 meet up n combine all the parts? How's da rest of da project going?,wan number meet n combine parts hows da rest da project going
0,So that means you still think of teju,means still think teju
1,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,next amazing xxx picsfreenumber video sent enjoy one vid enough numberday text back keyword picsfreenumber get next video
2,Insurance expired. Renew now.,insurance expired renew
0,Dont gimme that lip caveboy,dont gimme lip caveboy
2,ICICI alert: Your KYC update. Click link to verify immediately.,icici alert kyc update click link verify immediately
0,S:)s.nervous  &lt;#&gt; :),ssnervous ltgt
0,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",oh mr sheffield wanna play game okay youre boss im nanny give raise ill give one
0,"As usual..iam fine, happy &amp; doing well..:)",usualiam fine happy amp well
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
1,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + Â£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,collect valentines weekend paris inc flight hotel number prize guaranteed text paris number wwwrtfsphostingcom
1,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent trying contact last weekends draw shows number prize guaranteed call number claim code knumber valid numberhrs numberppm
0,S...i will take mokka players only:),si take mokka players
1,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",review keep fantastic nokia ngage game deck club nokia go number wwwcnupdatescomnewsletter unsubscribe alerts reply word
1,You have won a guaranteed 32000 award or maybe even Â£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,guaranteed number award maybe even number cash claim ur award call free number number legitimat efreefone number wat u think
1,You can donate Â£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. Â£2.50 will be added to your next bill,donate numbernumber unicefs asian tsunami disaster support fund texting donate number numbernumber added next bill
0,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,bought test yesterday something lets know exact day u ovulatewhen get numberu number numberwks pls pls dont fret know u r worried pls relax also anything ur past history u need tell
0,"Are you being good, baby? :)",good baby
0,U still havent got urself a jacket ah?,u still havent got urself jacket ah
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
1,Get buy 1 get 1 on clothing. Shop now.,get buy number get number clothing shop
1,Win a Â£1000 cash prize or a prize worth Â£5000,win number cash prize prize worth number
1,"For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",ur chance win number cash every wk txt action number tscs wwwmovietriviatv custcare number numberxnumberpwk
2,Axis alert: Your PAN verification. Click link to verify immediately.,axis alert pan verification click link verify immediately
2,ICICI alert: Your OTP expired. Click link to verify immediately.,icici alert otp expired click link verify immediately
2,HDFC alert: Your KYC update. Click link to verify immediately.,hdfc alert kyc update click link verify immediately
0,Did you see that film:),see film
2,SBI alert: Your card suspended. Click link to verify immediately.,sbi alert card suspended click link verify immediately
1,FREE entry into our Â£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entry number weekly competition text word win number number tc wwwtxttowincouk
2,ICICI alert: Your card suspended. Click link to verify immediately.,icici alert card suspended click link verify immediately
0,Not able to do anything.,able anything
2,Kotak alert: Your KYC update. Click link to verify immediately.,kotak alert kyc update click link verify immediately
2,ICICI alert: Your account blocked. Click link to verify immediately.,icici alert account blocked click link verify immediately
1,Get exclusive deal on fashion. Shop now.,get exclusive deal fashion shop
2,Your EMI overdue. Pay immediately.,emi overdue pay immediately
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash number numbernumber pounds txt cshnumber send number cost numberpday numberdays number tsandcs apply reply hl number info
2,Kotak alert: Your unauthorized login. Click link to verify immediately.,kotak alert unauthorized login click link verify immediately
2,Kotak alert: Your KYC update. Click link to verify immediately.,kotak alert kyc update click link verify immediately
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
0,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,also fuck family going rhode island wherever fuck leaving alone week new bong gt
0,Company is very good.environment is terrific and food is really nice:),company goodenvironment terrific food really nice
0,Do u noe wat time e place dat sells 4d closes?,u noe wat time e place dat sells numberd closes
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
0,Ã no home work to do meh... ,home work meh
2,SBI alert: Your PAN verification. Click link to verify immediately.,sbi alert pan verification click link verify immediately
2,ICICI alert: Your PAN verification. Click link to verify immediately.,icici alert pan verification click link verify immediately
1,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,heard unumber call number rude chat private line number cum wan numberc pics gettin shagged text pix number numberend send stop number sam xxx
1,Today only: Buy 1 get 1 free.,today buy number get number free
1,Get buy 1 get 1 on mobile. Shop now.,get buy number get number mobile shop
1,Get festival sale on electronics. Shop now.,get festival sale electronics shop
1,Get exclusive deal on mobile. Shop now.,get exclusive deal mobile shop
2,Courier delivery pending. Confirm now.,courier delivery pending confirm
1,You have won a guaranteed 32000 award or maybe even Â£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,guaranteed number award maybe even number cash claim ur award call free number number legitimat efreefone number wat u think
0,"Sorry, I'll call later",sorry ill call later
1,"Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X",todays offer claim ur number worth discount vouchers text yes number savamob member offers mobile cs number numbernumber sub number unsub reply x
2,Shipment delayed. Click to track.,shipment delayed click track
0,Thank You meet you monday,thank meet monday
1,+123 Congratulations - in this week's competition draw u have won the Â£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,number congratulations weeks competition draw u number prize claim call number bnumber tcsstop sms number number numberppm
0,Wat's da model num of ur phone?,wats da model num ur phone
0,TELL HER I SAID EAT SHIT.,tell said eat shit
0,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,watching movie already xy wants number shop im shopping w
1,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),call number send girls erotic ecstacy numberpmin stop texts call number nat rate
2,ICICI alert: Your KYC update. Click link to verify immediately.,icici alert kyc update click link verify immediately
2,Kotak alert: Your unauthorized login. Click link to verify immediately.,kotak alert unauthorized login click link verify immediately
0,"Yeah, probably earlier than that",yeah probably earlier
0,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",im cant give everything want need actually could better yor ownyouve got money cant get work cant get man cant pay rent cant even fill fucking gas tank yes im stressed depressed didnt even call home thanksgiving cuz ill tell im nothing
0,Yup Ã¼ not comin :-(,yup comin
1,Reply to win Â£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,reply win number weekly professional sport tiger woods play send stop number end service
2,HDFC alert: Your card suspended. Click link to verify immediately.,hdfc alert card suspended click link verify immediately
1,Grab this offer before it ends.,grab offer ends
2,HDFC alert: Update PAN or account freeze.,hdfc alert update pan account freeze
2,Axis alert: Your account blocked. Click link to verify immediately.,axis alert account blocked click link verify immediately
2,HDFC alert: Your OTP expired. Click link to verify immediately.,hdfc alert otp expired click link verify immediately
1,"Thanks for your ringtone order, ref number R836. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069154",thanks ringtone order ref number rnumber mobile charged numbernumber tone arrive please call customer services number
2,Axis alert: Your PAN verification. Click link to verify immediately.,axis alert pan verification click link verify immediately
1,Special festive discounts.,special festive discounts
2,SBI alert: Your KYC update. Click link to verify immediately.,sbi alert kyc update click link verify immediately
1,FREE entry into our Â£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,free entry number weekly comp send word enter number number tc wwwtextcompcom cust care number
0,U don't remember that old commercial?,u dont remember old commercial
1,Get cashback on mobile. Shop now.,get cashback mobile shop
2,Axis alert: Your card suspended. Click link to verify immediately.,axis alert card suspended click link verify immediately
1,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spjanuary male sale hot gay chat cheaper call number national rate numbernumberpmin cheap numbernumberpmin peak stop texts call number numberpmin
2,Kotak alert: Your KYC update. Click link to verify immediately.,kotak alert kyc update click link verify immediately
0,Jus came back fr lunch wif my sis only. U leh?,jus came back fr lunch wif sis u leh
1,Get buy 1 get 1 on groceries. Shop now.,get buy number get number groceries shop
0,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,someone smoke every time ive smoked last two weeks calling texting wanted smoke
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash number numbernumber pounds txt cshnumber send number cost numberpday numberdays number tsandcs apply reply hl number info
2,Axis alert: Your unauthorized login. Click link to verify immediately.,axis alert unauthorized login click link verify immediately
1,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea number prize reward claim call number claim code klnumber valid number hours
1,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,thesmszonecom lets send free anonymous masked messagesim sending message theredo see potential abuse
1,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,summers finally fancy chat flirt sexy singles yr area get matched reply summer free number join optout txt stop helpnumber
2,ICICI alert: Your card suspended. Click link to verify immediately.,icici alert card suspended click link verify immediately
0,when you and derek done with class?,derek done class
0,I'm also came to room.,im also came room
1,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",guaranteed latest nokia phone numbergb ipod mpnumber player number prize txt word collect number ibhltd ldnwnumberh numberpmtmsgrcvdnumber
1,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",want funk ur fone weekly new tone reply tonesnumberu number text wwwringtonescouk original n best tones numbergbp network operator rates apply
1,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",free nokia motorola upto numbermths numbernumberprice linerental number free xnet minsnumbertxtmth free btooth call mobileupdnumber number call numberoptoutdnumberwv
2,Kotak alert: Your KYC update. Click link to verify immediately.,kotak alert kyc update click link verify immediately
0,That sucks. I'll go over so u can do my hair. You'll do it free right?,sucks ill go u hair youll free right
0,Yeah it's jus rite...,yeah jus rite
2,ICICI alert: Your OTP expired. Click link to verify immediately.,icici alert otp expired click link verify immediately
0,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee
0,"Looks like you found something to do other than smoke, great job!",looks like found something smoke great job
0,"I'm not coming over, do whatever you want",im coming whatever want
1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",double mins txts number numbermonths free bluetooth orange available sony nokia motorola phones call mobileupdnumber number callnumberoptoutnnumberdx
0,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,mark taking forever pick prescription pain coming back
2,Update Aadhaar to continue banking services.,update aadhaar continue banking services
1,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,free numberst week nonumber nokia tone number ur mob every week txt nokia number get txting tell ur mates zed pobox number wnumberwq normnumberptone number
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
0,And how's your husband.,hows husband
1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,u secret admirer looking number make contact ufind rreveal thinks ur specialcall number
1,Get exclusive deal on mobile. Shop now.,get exclusive deal mobile shop
0,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",thanx yup coming back sun finish dinner going back number hotel time flies tog number exactly mth today hope well haf many mths come
2,Axis alert: Your card suspended. Click link to verify immediately.,axis alert card suspended click link verify immediately
0,That's necessarily respectful,thats necessarily respectful
1,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,tone club subs expired number resub reply monoc number monos polyc number polys number weekly numberp per week txt stop number stop msg free stream number
0,Gettin rdy to ship comp,gettin rdy ship comp
0,Maybe i could get book out tomo then return it immediately ..? Or something.,maybe could get book tomo return immediately something
2,ICICI alert: Your PAN verification. Click link to verify immediately.,icici alert pan verification click link verify immediately
0,Tell me they're female :V how're you throwing in? We're deciding what all to get now,tell theyre female v howre throwing deciding get
0,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,maybe woke fucking number wouldnt problem
1,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",freemsg awarded free mini digital camera reply snap collect prize quizclub opt stop numberpwk sprwm phnumber
